timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gnss_available,gnss_lat,gnss_lon,satellites,hdop,gt_lat,gt_lon,gt_speed_m_s,gt_heading_rad
5.3,-0.6231,0.0403,10.107,0.013,0.0017,0.002,17.23,18.12,39.95,True,37.7752801,-122.4190024,11,1.34,37.7752486,-122.4189409,10.99,0.8106
5.4,0.4986,0.1448,9.8744,-0.0383,-0.0155,0.002,17.22,18.12,40.21,True,37.7752243,-122.4189093,10,1.38,37.7752553,-122.4189319,10.93,0.8108
5.5,-0.5039,0.0728,9.3492,-0.0043,-0.0023,0.002,17.22,18.12,39.92,True,37.7752801,-122.4189199,11,0.93,37.7752622,-122.4189227,11.17,0.811
5.6,-0.3535,0.0657,9.9706,-0.0123,-0.0279,0.002,17.22,18.13,39.71,True,37.7752674,-122.418927,11,1.38,37.775269,-122.4189137,10.86,0.8112
5.7,2.3275,-0.0601,9.7785,-0.0167,0.023,0.002,17.21,18.13,40.32,True,37.7752536,-122.4189035,11,0.85,37.7752758,-122.4189046,11.09,0.8114
5.8,0.9368,0.1209,9.8147,-0.0212,0.0221,0.002,17.21,18.13,40.86,True,37.7752683,-122.4188752,11,0.9,37.7752828,-122.4188953,11.3,0.8116
5.9,-0.4166,0.0632,9.7276,0.0409,0.0011,0.002,17.21,18.14,40.59,True,37.7753419,-122.418881,10,1.36,37.7752898,-122.418886,11.27,0.8118
6.0,-0.6047,-0.0322,10.2319,0.0001,0.0177,0.002,17.2,18.14,39.51,True,37.7752752,-122.418829,9,1.32,37.7752968,-122.4188767,11.21,0.812
6.1,0.7068,-0.027,9.3544,-0.0167,0.0186,0.002,17.2,18.14,40.73,True,37.7753382,-122.4189065,8,1.11,37.7753036,-122.4188675,11.14,0.8122
6.2,0.88,0.0127,10.1185,-0.0126,-0.019,0.002,17.19,18.15,39.2,True,37.7753416,-122.4188693,9,0.97,37.7753107,-122.4188581,11.33,0.8124
6.3,-1.3334,0.075,10.4756,-0.0048,0.004,0.002,17.19,18.15,41.05,True,37.7753334,-122.4188525,9,1.03,37.7753176,-122.4188488,11.29,0.8126
6.4,-0.6119,-0.0894,10.1916,0.0133,-0.0027,0.002,17.19,18.15,40.26,True,37.7753327,-122.4188632,10,1.03,37.7753245,-122.4188397,11.09,0.8128
6.5,0.9572,0.11,9.4901,0.0408,-0.0251,0.002,17.18,18.16,39.87,True,37.7753898,-122.4187983,10,1.22,37.7753314,-122.4188304,11.18,0.813
6.6,-1.6341,0.0031,9.1941,-0.0156,0.0024,0.002,17.18,18.16,39.62,True,37.7753529,-122.4188715,9,1.29,37.7753384,-122.4188211,11.29,0.8132
6.7,-0.4782,0.1543,10.0773,0.01,0.0206,0.002,17.18,18.17,40.36,True,37.7753358,-122.4187631,10,1.1,37.7753451,-122.4188121,10.9,0.8134
6.8,2.6436,-0.2284,9.9791,0.0053,-0.021,0.002,17.17,18.17,40.26,True,37.7753287,-122.4188064,8,0.85,37.775352,-122.4188028,11.21,0.8136
6.9,0.0615,-0.001,9.7154,-0.0058,-0.0303,0.002,17.17,18.17,40.14,True,37.7753501,-122.418818,10,1.33,37.7753591,-122.4187934,11.4,0.8138
7.0,0.2085,-0.0581,9.8791,-0.0012,0.0415,0.002,17.17,18.18,39.95,True,37.7753082,-122.4187808,9,0.8,37.775366,-122.4187841,11.2,0.814
7.1,0.4044,-0.0021,9.6468,-0.0359,-0.0115,0.002,17.16,18.18,38.75,True,37.7754176,-122.4188001,10,0.92,37.775373,-122.4187747,11.42,0.8142
7.2,-1.9953,-0.0599,9.7215,0.0071,-0.025,0.002,17.16,18.18,39.23,True,37.7753602,-122.4188394,9,1.16,37.77538,-122.4187654,11.23,0.8144
7.3,-0.7329,-0.0607,9.9223,0.0002,0.0176,0.002,17.15,18.19,39.28,True,37.7753946,-122.418781,9,1.0,37.7753868,-122.4187562,11.05,0.8146
7.4,2.0011,-0.0534,9.307,0.0334,0.006,0.002,17.15,18.19,40.22,True,37.7754115,-122.4188043,10,1.12,37.7753936,-122.418747,11.11,0.8148
7.5,1.0467,0.0736,10.2775,0.0183,-0.0088,0.002,17.15,18.19,39.33,True,37.7754536,-122.4187775,11,1.35,37.7754007,-122.4187375,11.5,0.815
7.6,-1.4433,-0.18,10.4212,0.0023,-0.0307,0.002,17.14,18.2,40.36,True,37.7754179,-122.4187051,8,0.86,37.7754077,-122.4187281,11.32,0.8151
7.7,-0.0948,-0.0297,9.4727,-0.0259,-0.0175,0.002,17.14,18.2,39.81,True,37.7753966,-122.4187039,9,1.09,37.7754147,-122.4187188,11.23,0.8153
7.8,1.9143,-0.155,9.6007,-0.0227,-0.0115,0.002,17.14,18.2,39.42,True,37.7754157,-122.418711,9,1.1,37.7754216,-122.4187095,11.31,0.8155
7.9,1.9603,0.1266,10.2222,-0.0116,-0.0136,0.002,17.13,18.21,38.96,True,37.7753726,-122.4186871,11,1.35,37.7754288,-122.4186999,11.59,0.8157
8.0,-1.2775,0.0173,9.5826,0.0185,-0.022,0.002,17.13,18.21,39.93,True,37.7754425,-122.4186621,8,0.85,37.775436,-122.4186902,11.71,0.8159
8.1,0.063,-0.041,10.4055,0.026,0.0295,0.002,17.13,18.21,39.53,True,37.7754064,-122.4186633,10,1.38,37.775443,-122.4186807,11.37,0.8161
8.2,1.8214,0.1732,9.3818,-0.0079,-0.0001,0.002,17.12,18.22,40.74,True,37.7754787,-122.418708,10,1.36,37.7754502,-122.4186711,11.66,0.8163
8.3,2.6148,0.0356,10.2733,-0.0174,0.0373,0.002,17.12,18.22,39.88,True,37.7754763,-122.4186435,9,1.3,37.7754574,-122.4186613,11.74,0.8165
8.4,-1.7366,0.0286,9.7098,0.0241,0.0053,0.002,17.12,18.22,40.74,True,37.7754402,-122.4185928,9,1.13,37.7754649,-122.4186512,12.2,0.8167
8.5,0.5173,0.0679,9.9224,0.0324,-0.013,0.002,17.11,18.23,40.05,True,37.7754934,-122.4186587,8,1.04,37.7754719,-122.4186418,11.33,0.8169
8.6,0.8902,0.1593,10.3488,0.0125,0.0026,0.002,17.11,18.23,39.24,True,37.7755044,-122.4186407,8,1.18,37.7754794,-122.4186316,12.27,0.8171
8.7,-3.3821,-0.021,9.9903,0.0128,0.0172,0.002,17.1,18.23,39.6,True,37.7754771,-122.4185954,9,0.88,37.7754865,-122.4186221,11.52,0.8173
8.8,0.4634,0.0983,9.3714,0.0145,-0.0277,0.002,17.1,18.24,39.8,True,37.7754914,-122.418608,8,0.96,37.7754937,-122.4186124,11.62,0.8175
8.9,0.5456,0.1458,9.6331,-0.0038,-0.0046,0.002,17.1,18.24,39.81,True,37.7754826,-122.4186047,11,0.88,37.7755008,-122.4186028,11.66,0.8177
9.01,0.8351,-0.0919,9.2255,0.0238,0.0146,0.002,17.09,18.24,39.47,True,37.775473,-122.4185881,8,1.14,37.775508,-122.418593,11.72,0.8179
9.11,1.3616,-0.0115,10.2582,-0.0125,0.0057,0.002,17.09,18.25,39.24,True,37.775475,-122.4185604,9,1.3,37.7755153,-122.4185832,11.81,0.8181
9.21,-0.8364,-0.0538,9.8783,-0.0256,-0.0038,0.002,17.09,18.25,39.57,True,37.7755336,-122.4186285,9,1.38,37.7755227,-122.4185733,11.97,0.8183
9.31,-2.7901,-0.0476,10.0796,0.0089,-0.0186,0.002,17.08,18.25,39.24,True,37.7755594,-122.4185282,8,0.85,37.7755298,-122.4185636,11.58,0.8185
9.41,0.6906,-0.1134,9.5532,0.0086,-0.02,0.002,17.08,18.26,39.84,True,37.7755436,-122.4185574,10,1.37,37.7755368,-122.4185542,11.39,0.8187
9.51,1.018,0.1567,10.2748,-0.0067,-0.025,0.002,17.08,18.26,39.58,True,37.775611,-122.4185797,8,1.28,37.775544,-122.4185445,11.71,0.8189
9.61,0.009,0.0609,9.8452,-0.0104,-0.0125,0.002,17.07,18.26,40.1,True,37.7755548,-122.418549,10,1.18,37.7755511,-122.4185348,11.66,0.8191
9.71,1.1266,0.0038,9.4413,-0.0306,-0.0031,0.002,17.07,18.27,40.25,True,37.7755496,-122.4185351,8,1.28,37.7755584,-122.418525,11.79,0.8193
9.81,1.3151,-0.1146,10.0152,-0.0074,-0.0132,0.002,17.06,18.27,39.99,True,37.7755719,-122.4185192,9,1.19,37.7755657,-122.4185151,11.91,0.8195
9.91,-0.4989,0.1305,10.262,-0.0126,0.0035,0.002,17.06,18.27,39.96,True,37.7755527,-122.4185285,10,1.26,37.7755731,-122.4185051,12.03,0.8197
10.01,1.0672,-0.0364,9.5341,0.0016,-0.0026,0.002,17.06,18.28,39.79,True,37.7756087,-122.4184605,10,1.17,37.7755803,-122.4184952,11.84,0.8199
10.11,0.1878,0.1379,10.0707,-0.0213,-0.0093,0.002,17.05,18.28,39.61,True,37.7755346,-122.4185218,9,0.82,37.7755879,-122.418485,12.29,0.8201
10.21,-0.357,0.1948,9.1345,-0.0196,-0.0337,0.002,17.05,18.28,39.96,True,37.7756296,-122.4184789,9,1.27,37.7755952,-122.4184751,11.88,0.8203
10.31,2.1554,-0.0179,9.7272,-0.0062,0.0095,0.002,17.05,18.29,41.04,True,37.7756022,-122.4184341,8,0.87,37.7756026,-122.4184649,12.22,0.8205
10.41,-0.3653,0.0417,9.581,-0.0237,-0.0068,0.002,17.04,18.29,39.86,True,37.7755711,-122.4184256,8,1.03,37.7756102,-122.4184547,12.31,0.8207
10.51,-2.5202,-0.0611,9.6788,0.0277,-0.0197,0.002,17.04,18.29,40.72,True,37.7756119,-122.4184596,10,1.3,37.7756176,-122.4184446,12.14,0.8209
10.61,-0.4718,-0.0997,9.8917,-0.0053,-0.0134,0.002,17.04,18.3,39.99,True,37.7756126,-122.4184271,8,1.0,37.7756249,-122.4184347,11.88,0.8211
10.71,1.2766,-0.1602,9.7491,-0.01,-0.0223,0.002,17.03,18.3,38.93,True,37.7757182,-122.4184732,10,0.93,37.7756323,-122.4184247,12.0,0.8212
10.81,-0.5253,-0.1014,10.18,-0.0084,-0.005,0.002,17.03,18.3,40.59,True,37.7756451,-122.4184114,9,1.02,37.7756397,-122.4184146,12.13,0.8214
10.91,1.3394,0.0767,9.4157,0.0031,0.0332,0.002,17.03,18.31,40.24,True,37.7756434,-122.4183621,9,1.17,37.775647,-122.4184047,11.91,0.8216
11.01,1.4838,-0.0688,9.7537,0.015,-0.0104,0.002,17.02,18.31,41.29,True,37.7755821,-122.4183646,8,1.37,37.7756546,-122.4183943,12.39,0.8218
11.11,0.4656,-0.0057,10.2414,-0.044,0.0076,0.002,17.02,18.31,40.22,True,37.7756927,-122.4183925,10,0.99,37.7756621,-122.4183841,12.23,0.822
11.21,-0.5111,0.0882,9.5075,-0.0363,0.009,0.002,17.01,18.32,39.59,True,37.7757095,-122.4184002,10,1.24,37.7756697,-122.4183738,12.43,0.8222
11.31,-0.2872,0.0983,9.9174,-0.0097,0.0021,0.002,17.01,18.32,40.79,True,37.7756668,-122.4183591,11,1.4,37.7756771,-122.4183637,12.13,0.8224
11.41,1.3569,0.1483,10.2847,0.0074,0.0376,0.0019,17.01,18.32,39.91,True,37.7756504,-122.4183519,9,1.22,37.7756847,-122.4183534,12.35,0.8226
11.51,-0.1417,0.1607,10.085,0.0346,-0.0042,0.0019,17.0,18.33,40.22,True,37.7756383,-122.4183547,11,1.29,37.7756922,-122.418343,12.37,0.8228
11.61,0.8711,0.1116,10.408,0.0368,0.0192,0.0019,17.0,18.33,40.17,True,37.7757372,-122.4183447,11,1.23,37.7756998,-122.4183327,12.37,0.823
11.71,0.391,-0.0808,9.6636,-0.002,0.0054,0.0019,17.0,18.33,40.21,True,37.7756726,-122.4183579,11,0.93,37.7757074,-122.4183223,12.53,0.8232
11.81,-0.0665,-0.1221,9.8249,0.0123,-0.0074,0.0019,16.99,18.34,40.13,True,37.7757112,-122.4182741,11,0.94,37.775715,-122.4183119,12.42,0.8234
11.91,1.3161,-0.0033,9.5377,-0.0069,-0.0111,0.0019,16.99,18.34,39.47,True,37.775716,-122.41832,8,1.34,37.7757227,-122.4183015,12.51,0.8236
12.01,-1.6122,0.1326,9.8868,-0.0072,-0.035,0.0019,16.99,18.34,39.71,True,37.7756824,-122.4182639,8,0.82,37.7757304,-122.4182909,12.65,0.8238
12.11,-1.4638,-0.0708,9.9516,0.0365,0.0141,0.0019,16.98,18.35,39.95,True,37.7757606,-122.4183052,9,1.32,37.7757379,-122.4182807,12.22,0.824
12.21,0.2196,0.039,9.5047,0.0252,0.0184,0.0019,16.98,18.35,39.48,True,37.7757524,-122.4182738,9,1.16,37.7757454,-122.4182704,12.35,0.8242
12.31,-1.1308,0.1083,9.4997,-0.0064,-0.0068,0.0019,16.98,18.35,39.5,True,37.7757391,-122.4182094,11,1.33,37.7757529,-122.4182601,12.3,0.8244
12.41,-1.0198,0.0317,9.8829,-0.0145,0.0053,0.0019,16.97,18.36,39.63,True,37.7757101,-122.4182705,8,1.16,37.7757604,-122.41825,12.14,0.8246
12.51,1.6986,-0.0762,9.5779,0.0098,0.0078,0.0019,16.97,18.36,39.85,True,37.7757225,-122.4182359,10,1.26,37.7757677,-122.4182399,12.07,0.8248
12.61,0.7799,-0.0794,9.7044,-0.0183,0.0303,0.0019,16.96,18.36,40.84,True,37.775796,-122.4182922,8,1.36,37.7757753,-122.4182295,12.49,0.8249
12.71,-1.9793,0.0759,10.2513,-0.0257,0.0241,0.0019,16.96,18.37,39.15,True,37.7757651,-122.4182707,9,1.37,37.7757828,-122.4182193,12.2,0.8251
12.81,0.1484,0.067,9.6947,0.0065,0.0179,0.0019,16.96,18.37,40.03,True,37.7757719,-122.4182022,11,1.15,37.7757902,-122.4182091,12.1,0.8253
12.91,0.7693,0.0638,9.5587,0.0455,-0.0214,0.0019,16.95,18.37,40.2,True,37.7757634,-122.4181961,10,0.9,37.7757976,-122.4181989,12.22,0.8255
13.01,1.1421,0.0657,9.8202,-0.0028,0.0216,0.0019,16.95,18.38,40.51,True,37.7758022,-122.418202,11,1.02,37.7758051,-122.4181887,12.24,0.8257
13.11,1.0246,-0.0323,9.3996,-0.0143,-0.0184,0.0019,16.95,18.38,39.62,True,37.775839,-122.418122,9,0.97,37.7758127,-122.4181783,12.47,0.8259
13.21,0.2986,-0.0572,9.7044,-0.0021,0.0365,0.0019,16.94,18.38,39.13,True,37.7758292,-122.4181792,9,1.22,37.7758203,-122.4181679,12.44,0.8261
13.31,-0.0149,-0.0452,9.8717,-0.0009,-0.003,0.0019,16.94,18.39,40.86,True,37.7758103,-122.4181317,11,0.94,37.7758279,-122.4181574,12.51,0.8263
13.41,0.0037,-0.0549,9.8292,-0.001,-0.0011,0.0019,16.94,18.39,40.42,True,37.7758453,-122.4181709,10,1.38,37.7758355,-122.4181469,12.48,0.8265
13.51,1.1985,0.0677,10.1723,-0.0022,0.0109,0.0019,16.93,18.39,40.51,True,37.7758618,-122.4181048,9,1.31,37.7758431,-122.4181365,12.51,0.8267
13.61,0.3201,0.0472,9.5998,0.0058,0.0383,0.0019,16.93,18.4,40.36,True,37.7758858,-122.4181329,10,1.33,37.7758508,-122.4181258,12.71,0.8269
13.71,-0.3596,0.1151,10.0796,0.0206,-0.0311,0.0019,16.93,18.4,39.18,True,37.7758357,-122.4181702,10,1.33,37.7758585,-122.4181152,12.64,0.8271
13.81,0.1926,0.0493,9.8517,0.0078,-0.0052,0.0019,16.92,18.4,40.17,True,37.7759304,-122.4180498,10,1.16,37.7758662,-122.4181046,12.66,0.8273
13.91,1.9235,-0.0118,9.803,0.0187,0.0195,0.0019,16.92,18.41,39.42,True,37.7758676,-122.4181389,9,1.2,37.7758739,-122.4180941,12.61,0.8275
14.01,-0.04,-0.0049,9.2531,0.0031,-0.0224,0.0019,16.92,18.41,40.23,True,37.775952,-122.4180791,10,1.39,37.7758818,-122.4180832,12.99,0.8277
14.11,-1.3482,0.1348,9.684,0.0019,-0.0228,0.0019,16.91,18.41,39.67,True,37.7759537,-122.4180712,10,0.81,37.7758895,-122.4180726,12.62,0.8278
14.21,-1.0356,0.0025,10.2465,-0.0184,0.0166,0.0019,16.91,18.42,39.81,True,37.7758979,-122.4180954,10,1.02,37.7758972,-122.418062,12.7,0.828
14.31,1.9898,0.1409,10.0976,-0.0196,0.0186,0.0019,16.9,18.42,40.55,True,37.7759181,-122.4180211,9,0.86,37.7759048,-122.4180516,12.39,0.8282
14.41,3.7527,0.0472,10.1101,0.0096,-0.0144,0.0019,16.9,18.42,40.48,True,37.7759634,-122.4179896,9,0.9,37.7759127,-122.4180406,13.07,0.8284
14.51,-0.7502,0.0826,10.236,0.0158,0.0229,0.0019,16.9,18.42,39.75,True,37.7759133,-122.4180885,8,0.81,37.7759207,-122.4180297,13.09,0.8286
14.61,-1.2194,0.0992,9.7855,0.0141,-0.0007,0.0019,16.89,18.43,39.86,True,37.7759167,-122.418047,8,0.89,37.7759285,-122.4180188,12.92,0.8288
14.71,-2.2742,0.1065,9.6158,-0.0149,0.0097,0.0019,16.89,18.43,40.67,True,37.7759213,-122.418052,9,0.89,37.7759363,-122.4180081,12.82,0.829
14.81,-1.2813,0.1237,9.615,0.0225,0.0022,0.0019,16.89,18.43,40.67,True,37.7759121,-122.4179633,9,0.87,37.7759439,-122.4179976,12.44,0.8292
14.91,0.9217,0.1696,9.6114,0.0109,0.0114,0.0019,16.88,18.44,39.89,True,37.7759385,-122.4179488,10,1.02,37.7759515,-122.4179871,12.55,0.8294
15.01,1.3368,0.132,9.8798,-0.0069,0.0183,0.0019,16.88,18.44,39.07,True,37.7759118,-122.4179337,9,1.15,37.7759591,-122.4179765,12.62,0.8296
15.11,0.7773,0.1012,10.2119,-0.0116,-0.008,0.0019,16.88,18.44,39.8,True,37.7759477,-122.4179822,10,1.28,37.7759669,-122.4179658,12.81,0.8298
15.21,-1.419,-0.2451,10.6454,0.0034,-0.0033,0.0019,16.87,18.45,39.1,True,37.7759959,-122.4179176,10,1.1,37.7759747,-122.417955,12.76,0.83
15.31,2.1048,-0.0917,10.107,0.0317,-0.0099,0.0019,16.87,18.45,39.52,True,37.7759911,-122.4179534,9,0.92,37.7759823,-122.4179445,12.55,0.8301
